matrix,1,2,4,8,16,32
audikw_1,209.576,165.719,71.922,43.505,30.249,15.192
cage12,1721.681,1107.684,373.783,181.665,83.988,34.340
Si87H76,9651.450,6444.685,2265.976,1157.913,561.115,237.987
atmosmodd,390.421,297.497,132.335,74.207,40.890,19.250
RM07R,1166.510,846.243,380.748,206.683,112.924,49.424
nlpkkt80,639.131,517.431,220.264,125.189,82.984,35.017
